FID;TITULAR;N_PERT;N_CODIGOCE;ESPECIES;TOPONIMIO;T_ESTADOTR;T_GRUPOESP;SUPERFICIE;AGRUPCONCE;COMUNA;REGION;CartaGeogr;Datum;Huso;COORDENADA;N_RESOLSSP;F_RESOLSSP;N_RESOLSSF;F_RESOLSSF;TIPOPORC;ESTADO_UOT
6;FUNDACION CHILE;900000014;40119;TURBOT, CHOLGA, CHORITO, CHORO;BAHÍA TONGOY, AL OESTE DE PUERTO TONGOY;CONCESION OTORGADA;PECES;3,65;;COQUIMBO;REGIÓN DE COQUIMBO;PLANO-IV-07-SSP;WGS-84;19 SUR;"S 30°15´22.8500, W 71°30´17.7300

S 30°15´39.0000, W 71°30´16.1900

S 30°15´39.2300, W 71°30´19.1700

S 30°15´24.8600, W 71°30´20.4300";344;09-10-1981;192;18-02-1983;AGUA Y FONDO;CONCESIÓN OTORGADA
7;CULTIVOS MARINOS TONGOY S.A.;900000032;40042;CORVINA, LENGUADO DE OJOS GRANDES, TURBOT, ABALON JAPONES, ABALON ROJO;BAHÍA TONGOY, AL OESTE DE PUERTO TONGOY;CONCESION OTORGADA;PECES;6,75;;COQUIMBO;REGIÓN DE COQUIMBO;PLANO-IV-03-SSP;WGS-84;19 SUR;"S 30°15´23.9900, W 71°30´26.2700

S 30°15´23.6900, W 71°30´20.6700

S 30°15´38.2700, W 71°30´19.6200

S 30°15´38.5700, W 71°30´25.2200";289;09-08-1983;1034;27-12-1983;AGUA Y FONDO;CONCESIÓN OTORGADA
10;MOWI CHILE S.A.;900000842;110108;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO QUITRALCO, AL NOROESTE DE QUITRALCO;CONCESION OTORGADA;SALMONES;1,26;27;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8650;WGS-84;18 SUR;"S 45°44´24.5100, W 73°28´0.4100

S 45°44´24.4400, W 73°27´55.2000

S 45°44´28.0900, W 73°27´55.1000

S 45°44´28.1600, W 73°28´0.3100";1216;22-12-1994;8;11-01-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
15;INVERMAR S.A.;900000138;100060;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO COMPÚ, COMPÚ, SECTOR 1;CONCESION OTORGADA;SALMONES;2;11;QUELLON;REGIÓN DE LOS LAGOS;PLANO-DPC-307;WGS-84;18 SUR;"S 42°51´47.4900, W 73°43´18.0600

S 42°51´50.3700, W 73°43´10.1600

S 42°51´53.2700, W 73°43´12.1200

S 42°51´50.4000, W 73°43´20.0200";21;06-01-1987;1038;31-03-2000;AGUA Y FONDO;CONCESIÓN OTORGADA
16;INVERMAR S.A.;900000139;101914;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO COMPÚ, COMPÚ, SECTOR 2;CONCESION OTORGADA;SALMONES;2;11;QUELLON;REGIÓN DE LOS LAGOS;PLANO-DPC-307;WGS-84;18 SUR;"S 42°51´52.6500, W 73°43´2.7300

S 42°51´55.8200, W 73°42´55.0400

S 42°51´58.6500, W 73°42´57.2000

S 42°51´55.4800, W 73°43´4.8900";21;06-01-1987;421;12-04-1988;AGUA Y FONDO;CONCESIÓN OTORGADA
17;CERMAQ CHILE S.A.;900000112;100164;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHASCON O HUIRO NEGRO, COCHAYUYO, LUCHE, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO;PUERTO HUITE, AL OESTE DE PUNTA ARENAS;CONCESION OTORGADA;SALMONES;2,98;7;QUEMCHI;REGIÓN DE LOS LAGOS;PLANO-DPC-304;WGS-84;18 SUR;"S 42°6´40.3700, W 73°26´7.5400

S 42°6´34.4200, W 73°26´0.2500

S 42°6´31.8000, W 73°26´4.1200

S 42°6´37.7500, W 73°26´11.4000";691;25-09-1986;1140;01-12-1987;AGUA Y FONDO;CONCESIÓN OTORGADA
20;MOWI CHILE S.A.;900000162;100117;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHOLGA, CHORITO, CHORO;LA FABRICA;CONCESION OTORGADA;SALMONES;5,25;10A;CHONCHI;REGIÓN DE LOS LAGOS;SHOA-7370;WGS-84;18 SUR;"S 42°31´55.0800, W 73°48´1.0500

S 42°31´55.0000, W 73°47´40.8100

S 42°31´58.4000, W 73°47´40.7500

S 42°31´58.6400, W 73°48´3.6400";67;02-02-1988;918;25-09-1989;AGUA Y FONDO;CONCESIÓN OTORGADA
22;MULTIEXPORT PACIFIC FARMS S.A.;900000781;100638;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL DALCAHUE, SECTOR SAN JAVIER;CONCESION OTORGADA;SALMONES;4;9A;CURACO DE VELEZ;REGIÓN DE LOS LAGOS;SHOA-7370;WGS-84;18 SUR;"S 42°22´51.5500, W 73°37´2.1500

S 42°22´46.8500, W 73°36´45.8500

S 42°22´49.8700, W 73°36´44.2700

S 42°22´54.5700, W 73°37´0.5700";1458;26-11-1990;803;05-04-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
25;SALMOCONCESIONES S.A.;900000217;100385;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL LEMUY, SECTOR CARAHUE;CONCESION OTORGADA;SALMONES;10;10A;CASTRO;REGIÓN DE LOS LAGOS;SHOA-7320;WGS-84;18 SUR;"S 42°33´30.3700, W 73°40´59.0200

S 42°33´26.4700, W 73°40´37.8200

S 42°33´19.6100, W 73°40´38.2300

S 42°33´23.8000, W 73°40´59.0900";645;24-06-1988;759;31-03-1995;AGUA Y FONDO;CONCESIÓN OTORGADA
26;MOWI CHILE S.A.;900000341;100634;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;CANAL QUINCHAO, SECTOR PUNTA VELEO, ISLA QUINCHAO;CONCESION OTORGADA;SALMONES;12;9A;CURACO DE VELEZ;REGIÓN DE LOS LAGOS;SHOA-7370;WGS-84;18 SUR;"S 42°25´55.0700, W 73°31´4.5500

S 42°25´56.4200, W 73°30´51.5500

S 42°25´43.5800, W 73°30´49.1200

S 42°25´42.2300, W 73°31´2.1200";1098;18-10-1988;360;03-06-1993;AGUA Y FONDO;CONCESIÓN OTORGADA
29;SOCIEDAD DE INVERSIONES EL MEMBRILLO LIMITADA;900000103;100194;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA, CHOLGA, CHORITO, CHORO, OSTION DEL NORTE, OSTION DEL SUR, OSTRA CHILENA, OSTRA DEL PACIFI;ESTERO HUITO, EL ROSARIO;CONCESION OTORGADA;SALMONES;3,42;3A;CALBUCO;REGIÓN DE LOS LAGOS;SHOA-7310;WGS-84;18 SUR;"S 41°45´0.5900, W 73°9´22.7700

S 41°44´57.8500, W 73°9´19.0900

S 41°44´51.3000, W 73°9´27.7900

S 41°44´54.0400, W 73°9´31.4700";398;14-05-1986;572;16-09-1992;AGUA Y FONDO;CONCESIÓN OTORGADA
31;MOWI CHILE S.A.;900000038;100333;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;ESTERO HUITO;CONCESION OTORGADA;SALMONES;18,69;3A;CALBUCO;REGIÓN DE LOS LAGOS;SHOA-7310;WGS-84;18 SUR;"S 41°44´32.4700, W 73°9´51.0300

S 41°44´50.0300, W 73°9´34.6900

S 41°44´44.7800, W 73°9´24.6400

S 41°44´27.2200, W 73°9´40.9700";447;05-12-1983;373;03-10-1994;AGUA Y FONDO;CONCESIÓN OTORGADA
45;AQUACHILE SPA;900000117;110005;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;BAHÍA CHACABUCO;CONCESION OTORGADA;SALMONES;1,34;28B;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8610;WGS-84;18 SUR;"S 45°28´34.2800, W 72°49´32.9000

S 45°28´36.8900, W 72°49´30.1700

S 45°28´39.4700, W 72°49´35.1400

S 45°28´36.8600, W 72°49´37.8700";914;25-11-1986;1598;28-09-2004;AGUA Y FONDO;CONCESIÓN OTORGADA
46;SALMONES ANTARTICA S.A.;900000030;110122;SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA;SUR DE BAHÍA CHACABUCO;CONCESION OTORGADA;SALMONES;2,2;28B;AISEN;REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO;SHOA-8610;WGS-84;18 SUR;"S 45°28´45.7300, W 72°49´56.2400

S 45°28´44.5400, W 72°49´51.3800

S 45°28´50.6600, W 72°49´48.8700

S 45°28´51.8100, W 72°49´53.8300";231;04-07-1983;936;18-11-1983;AGUA Y FONDO;CONCESIÓN OTORGADA
